Date,Open,High,Low,Close,Adj Close,Volume
1999-12-13,102.39,102.5,98.94,99.0,3.0761,4731800
1999-12-14,98.37,99.75,94.75,94.87,2.9478,3891700
1999-12-15,93.25,97.25,91.06,97.0,3.0139,5562300
1999-12-16,98.0,98.37,94.0,98.31,3.0546,4141300
1999-12-17,100.87,102.0,98.5,100.0,3.1072,4419700
1999-12-20,99.56,99.62,96.62,98.0,3.045,2535600
1999-12-21,98.19,103.06,97.94,102.5,3.1848,2746400
1999-12-22,102.87,104.56,98.75,99.94,3.1053,2920300
1999-12-23,101.81,104.25,101.06,103.5,3.2159,2049400
1999-12-27,104.37,104.44,99.25,99.31,3.0857,1503500
1999-12-28,99.12,99.62,95.0,98.19,3.0509,2210500
1999-12-29,96.81,102.19,95.5,100.69,3.1286,2540200
1999-12-30,102.19,104.12,99.62,100.31,3.1168,1849500
1999-12-31,100.94,102.87,99.5,102.81,3.1945,1462600
2000-01-03,104.87,112.5,101.69,111.94,3.4782,4783900
2000-01-04,108.25,110.62,101.19,102.5,3.1848,4574800
2000-01-05,103.75,110.56,103.0,104.0,3.2314,6949300
2000-01-06,106.12,107.0,95.0,95.0,2.9518,6856900
2000-01-07,96.5,101.0,95.5,99.5,3.0916,4113700
2000-01-10,102.0,102.25,94.75,97.75,3.0372,4509500
2000-01-11,95.94,99.37,90.5,92.75,2.8819,3942400
2000-01-12,95.0,95.5,86.5,87.19,2.7091,8714900
2000-01-13,94.48,98.75,92.5,96.75,3.0062,9220400
2000-01-14,100.0,102.25,99.37,100.44,3.1208,3485500
2000-01-18,101.0,106.0,100.44,103.94,3.2296,4099800
2000-01-19,105.62,108.75,103.37,106.56,3.311,5336100
2000-01-20,115.5,121.5,113.5,113.5,3.5266,16349400
2000-01-21,114.25,114.25,110.19,111.31,3.4586,4427900
2000-01-24,108.44,112.75,105.12,106.25,3.3014,3936400
2000-01-25,105.0,113.12,102.37,112.25,3.4878,4438800
2000-01-26,110.0,114.19,109.75,110.19,3.4238,3278200
2000-01-27,108.81,113.0,107.0,110.0,3.4179,3037000
2000-01-28,108.19,110.87,100.62,101.62,3.1575,3779900
2000-01-31,101.0,103.87,94.5,103.75,3.2237,6265000
2000-02-01,104.0,105.0,100.0,100.25,3.1149,2839600
2000-02-02,100.75,102.12,97.0,98.81,3.0702,4144600
2000-02-03,100.31,104.25,100.25,103.31,3.21,4242800
2000-02-04,103.94,110.0,103.62,108.0,3.3557,3797500
2000-02-07,108.0,114.25,105.94,114.06,3.544,3938100
2000-02-08,114.0,116.12,111.25,114.87,3.5692,3648600
2000-02-09,114.12,117.12,112.44,112.62,3.4993,2672900
2000-02-10,112.87,113.87,110.0,113.5,3.5266,2705200
2000-02-11,113.62,114.12,108.25,108.75,3.379,1895100
2000-02-14,109.31,115.87,108.62,115.81,3.5984,3281600
2000-02-15,115.25,119.94,115.19,119.0,3.6975,4337000
2000-02-16,117.75,118.12,112.12,114.12,3.5459,3377200
2000-02-17,115.19,115.5,113.12,114.87,3.5692,2584800
2000-02-18,114.62,115.37,110.87,111.25,3.4567,2084300
2000-02-22,110.12,116.94,106.69,113.81,3.5363,3770500
2000-02-23,113.23,119.0,111.0,116.25,3.6121,4224100
2000-02-24,117.31,119.12,111.75,115.2,3.5794,3361000
2000-02-25,114.81,117.0,110.12,110.37,3.4294,2224500
2000-02-28,110.12,115.0,108.37,113.25,3.5189,2931500
2000-02-29,113.56,117.25,112.56,114.62,3.5614,3294300
2000-03-01,118.56,132.06,118.5,130.31,4.0489,9616100
2000-03-02,127.0,127.94,120.69,122.0,3.7907,2779100
2000-03-03,124.87,128.23,120.0,128.0,3.9772,2887200
2000-03-06,126.0,129.13,125.0,125.69,3.9054,1880000
2000-03-07,126.44,127.44,121.12,122.87,3.8178,2437600
2000-03-08,122.87,123.94,118.56,122.0,3.7907,2421700
2000-03-09,120.87,125.0,118.25,122.25,3.7985,2470700
2000-03-10,121.69,127.94,121.0,125.75,3.9073,2219700
2000-03-13,122.12,126.5,119.5,121.31,3.7693,2713900
2000-03-14,121.22,124.25,114.0,114.25,3.5499,3826600
2000-03-15,115.62,120.25,114.12,116.25,3.6121,3960800
2000-03-16,117.31,122.0,114.5,121.56,3.7771,3375900
2000-03-17,120.12,125.0,119.62,125.0,3.8839,2723600
2000-03-20,123.5,126.25,122.37,123.0,3.8218,1825800
2000-03-21,122.56,136.75,121.62,134.94,4.1928,4681500
2000-03-22,132.78,144.38,131.56,144.19,4.4802,5071400
2000-03-23,142.0,150.38,140.0,141.31,4.3907,5022900
2000-03-24,142.44,143.94,135.5,138.69,4.3093,3990300
2000-03-27,137.63,144.75,136.88,139.56,4.3364,2492700
2000-03-28,137.25,142.0,137.13,139.13,4.323,1812200
2000-03-29,139.38,139.44,133.83,135.94,4.2239,2141400
2000-03-30,133.56,137.69,125.44,125.75,3.9073,3700000
2000-03-31,127.44,137.25,126.0,135.81,4.2198,3612800
2000-04-03,135.5,139.5,129.44,133.31,4.1422,2933600
2000-04-04,132.63,133.0,116.75,127.31,3.9557,5895800
2000-04-05,126.47,132.88,124.0,130.38,4.0511,4086300
2000-04-06,130.63,134.5,123.25,125.19,3.8899,2318100
2000-04-07,127.25,131.88,125.5,131.75,4.0937,2164600
2000-04-10,131.69,132.75,124.75,125.0,3.8839,1895200
2000-04-11,123.5,124.87,118.06,119.44,3.7112,4837700
2000-04-12,119.0,119.0,104.87,109.25,3.3946,8403000
2000-04-13,111.5,120.0,108.5,113.81,3.5363,4730600
2000-04-14,109.31,118.0,109.0,111.87,3.476,5960900
2000-04-17,109.5,123.94,109.06,123.87,3.8488,3656800
2000-04-18,123.5,126.87,119.37,126.87,3.9421,3490400
2000-04-19,126.19,130.25,119.75,121.12,3.7634,4644200
2000-04-20,123.69,124.75,117.06,118.87,3.6935,6447500
2000-04-24,115.0,120.5,114.75,120.5,3.7441,3960900
2000-04-25,122.12,128.75,122.06,128.31,3.9868,3496800
2000-04-26,126.62,128.0,120.0,121.31,3.7693,3276000
2000-04-27,117.19,127.0,116.58,126.75,3.9383,2916100
2000-04-28,127.12,127.5,121.31,124.06,3.8547,2228400
2000-05-01,124.87,125.12,121.87,124.31,3.8625,2019600
2000-05-02,123.25,126.25,117.5,117.87,3.6624,2111000
2000-05-03,118.94,121.25,111.62,115.06,3.5751,4373200
2000-05-04,115.12,115.25,110.56,110.69,3.4393,3567100
